ID,ProvisionalSeverity,Status,Finding,Evidence,ImpactAndLimits,ProposedOwner,Remediation,CompletionCriteria
VAPT-001,Critical,Source sanitized; external rotation/history cleanup pending,Tracked credentials and authentication cookie,appsettings.json; cookies.txt; login.json; local .NET User Secrets,Credential material is tracked; validity and external exposure were not tested.,Deployment owner + backend,Preserved missing local development settings in the existing User Secrets file; cleared five tracked DB/Redis/SMS/bridge configuration values and login/cookie artifacts; removed literal credentials from the old precheck. Rotate server credentials and review history separately.,Current source contains no values at the identified keys; old credentials must fail after external rotation. Full history/legacy-crypto review remains open.
VAPT-002,Critical,Fixed locally; staging retest pending,Any signed-in user could reset an arbitrary user password,Controllers/AdminController.cs: UserResetPassword,Controller required login but action had no role or target-user authorization.,Backend,"SuperAdmin policy now covers arbitrary-user reset and legacy global account creation/activation/deletion. Legacy account creation hashes its password. Credential-version validation rejects old cookies after password, role or company changes.","Local middleware tests return 401 for anonymous, 403 for user types 1/2, and admit type 3; verify reset and session revocation on staging."
VAPT-003,High,Fixed locally; staging retest pending,Global Redis administration exposed to ordinary users,Controllers/AdminController.cs: GetRedisKeys/GetKeyInfo/ExtendTtl/DeleteKey/FlushRedis,"Authenticated users could enumerate, extend, delete or flush global keys.",Backend,Applied SuperAdmin policy to all five actions.,Local middleware role matrix passes; authorized staging checks must not flush real data.
VAPT-004,High,Fixed locally; legacy ownership assignment/staging pending,Indoor plans required authentication and creator/company scope,Controllers/IndoorPlanningController.cs; Security/ResourceAccess.cs; Models/EntityModel.cs: tbl_indoor_planning_floor,"The existing model has creator fields, but the original controller neither set nor scoped them. Null-creator records are now visible only to super-admins.",Backend + product owner,Added authentication and shared company/creator query predicates; new plans record the signed-in creator. Company sharing follows the existing app model; confirm product policy and assign orphan creators through an approved data process.,Local two-company/creator/orphan tests and SQL translation pass; verify actual rows and deployed cross-company reads/writes.
VAPT-005,High,Provider/query-header/clutter fixes verified locally; wider route review pending,Request parameters override authenticated database region,Services/DbConnectionProvider.cs: GetConnectionString,country_code/countryCode/region and x-country-code are checked before the authenticated country claim. Cross-region impact depends on identities/data in each database.,Backend,Ordinary users derive database from signed region; middleware rejects conflicting query/header selectors; ordinary users no longer cross to TW through clutter fallback or legacy admin routing. Regional login/rate-limit keys are isolated. Review remaining body-driven service/bridge region contracts.,"Local IN/TW query/header and legacy-admin routing tests pass; deployed identity collisions, alternate body parameters and caches still require assessment."
VAPT-006,High,Reviewed routes fixed locally; broader endpoint audit pending,Site prediction reads and mutations lack consistent resource access checks,Controllers/ProcessCSVController.cs: GetSitePredictions/UploadSitePrediction; Controllers/SitePredictionController.cs; Services/SitePredictionService.cs,Listing can query all site_prediction rows; scenario/delete service uses supplied project/source identifiers without caller scope.,Backend,"Shared project/company/creator predicates now scope ProcessCSV listing/upload, MapView.UploadSitePredictionCsv, and SitePredictionService scenario/delete calls. Supplied upload-history IDs are checked. Site listing take is capped at 1000.",Local predicate isolation and SQL translation pass; staging mutation tests and all other MapView/ExcelUpload routes remain to be verified.
VAPT-007,High,Implemented and unit-verified; live datastore/replay tests pending,Long-lived cookies and fail-open revocation checks,Configuration/SecurityServiceExtensions.cs: DefaultPersistentSessionDays/OnValidatePrincipal; Controllers/AuthController.cs: Logout; Controllers/HomeController.cs: Logout,Default lifetime is 3650 days; missing Redis login-lock key or unavailable Redis preserves principal; logout deletes that key.,Backend + deployment,"30-minute default idle and 1-day absolute sessions (configurable); region-scoped v2 Redis locks; production requires Redis. Validate active account, current password version, role/company and lock on each cookie request; reject missing/changed state and storage failures.","Local credential/deactivation/role/absolute-expiry tests pass. Verify actual cookie logout/reset replay, Redis failover, and per-request database validation latency on staging."
VAPT-008,High,Runtime migration blocked by automatic approval review,CSRF enforcement defaults off when flag is absent,Middleware/CsrfProtectionMiddleware.cs: ShouldValidate; appsettings.json; appsettings.Production.example.json,Base configuration omits Security:RequireCsrfHeader and middleware defaults false. Production example is not automatically loaded.,Backend + frontend + deployment,"Prepared review-only csrf-migration.patch with identity-bound ASP.NET antiforgery, token endpoint, signed identity identifier, production default, and POST legacy logout. It is not applied. Existing custom CSRF behavior/configuration remains.","Approval plus frontend token-flow integration, login/write/GET-logout compatibility review and staging tests; see proposals/README.md."
VAPT-009,Medium,Fixed locally; proxy deployment retest pending,Cookie transport helper bypassed proxy trust and could clear Secure,Security/RequestSecurity.cs; Program.cs,Helper read raw X-Forwarded-Proto and reset Secure on HTTP; HSTS ran before forwarded headers.,Backend + deployment,Trust Request.IsHttps after trusted forwarding; preserve existing Secure; move forwarded headers before HSTS.,Local tests cover spoofed/untrusted/trusted forwarding and HTTP/HTTPS cookie flags; verify real proxy allowlist and Set-Cookie headers.
VAPT-010,Medium,Fixed by pipeline inspection; deployed load test pending,User-partitioned limits ran before authentication,Program.cs: UseRateLimiter/GetRateLimitPartitionKey,Upload/report policies saw anonymous principal and used IP partition even for signed-in requests.,Backend,Moved limiter after authentication and scoped user partitions by signed region. Distributed/multi-instance policies remain to be reviewed.,Build passes; staging same-IP/different-user and same-user/multiple-IP tests verify intended partitions.
